|Descript|City|State|StateCode
0|MAN BURNS WOMAN TAX OFFICER ALIVE OFFICE TELANGANA|Hyderabad|Telangana|TG
1|MADHYA PRADESH: 16-YEAR-OLD GIRL RAPED FATHER BHIND|Bhind|Madhya Pradesh|MP
2|MAN KILLS WIFE UP AXE, BEATEN DEATH MOB ATTEMPTS FLEE|Banda|Uttar Pradesh|UP
3|GURGAON: MAN SHOT DEAD WOMAN BUSINESS PARTNER|Gurgaon|Haryana|HR
4|HYDERABAD MAN GIVES TRIPLE TALAQ WIFE HAVING CROOKED TEETH|Hyderabad|Telangana|TG
5|MAN REFUSES FIX MARRIAGE, WIFE HOME DIWALI; KILLED BROTHER-IN-LAW|Bhopal|Madhya Pradesh|MP
6|HYD WOMAN KILLS MOTHER OBJECTING AFFAIR 2 MEN|Hyderabad|Telangana|TG
7|UP POLICE RETRIEVE WOMAN'S BODY FUNERAL PYRE|Bulandshahr|Uttar Pradesh|UP
8|UP TEACHER SHOOTS CLASS 8 GIRL REJECTING ADVANCES|Kanpur|Uttar Pradesh|UP
9|DELHI: 3 BOYS APPREHENDED HARASSING 16-YEAR-OLD GIRL|New Delhi|Delhi|DL
10|MAHARASHTRA: 15-YEAR-OLD BOY HELD RAPING MINOR GIRL|Thane|Maharashtra|MH
11|MOTIHARI SHELTER HOME: 2 GIRLS FOUND, 2 MISSING|Motihari|Bihar|BR
12|BHOPAL: POLICE CREATE FAKE FACEBOOK ACCOUNT GIRL ARREST RAPE ACCUSED|Bhopal|Madhya Pradesh|MP
13|BIHAR: 3 GIRLS MISSING MOTIHARI-BASED SHELTER HOME|Motihari|Bihar|BR
14|4-YEAR-OLD GIRL FOUND DEAD TIN BOX, FAMILY SAYS VILLAGE WITCH DRANK BLOOD|Bhubaneshwar|Odisha|OR
15|MAN KILLS MOTHER-IN-LAW REFUSING PROSTITUTION|Bhopal|Madhya Pradesh|MP
16|RAGPICKERS RAPE GOA WOMAN WAITING DELHI BUS STAND, 1 ARRESTED|New Delhi|Delhi|DL
17|HARYANA MAN BOOKED ATTEMPTING KILL WIFE THROWING CANAL|Kurukshetra|Haryana|HR
18|DELHI: ST STEPHEN'S LECTURER MOTHER FOUND DEAD|New Delhi|Delhi|DL
19|HYDERABAD: MAN KILLS PET DOG PROPERTY DISPUTE SISTER, BOOKED|Hyderabad|Telangana|TG
20|UP: WOMAN ACCUSES HUSBAND GIVING TRIPLE TALAQ BIRTH GIRL CHILD, CASE REGISTERED|Sambal|Punjab|PB
21|MAN DUPES 50 WOMEN MEET EXPENSES 5 'WIVES'|Bhopal|Madhya Pradesh|MP
22|THANE MAN ARRESTED RAPING WOMAN, POSTING OBSCENE PICS ONLINE|Thane|Maharashtra|MH
23|MAN FEEDS POISONED JUICE SONS FIGHT WIFE|Hyderabad|Telangana|TG
24|PROVE GENDER, POLICE TELLS MOLESTED MUMBAI TRANSWOMAN FILING FIR|New Delhi|Delhi|DL
25|17-YEAR-OLD BOY TAKEN CUSTODY MOLESTING 5-YEAR-OLD GIRL|Amaravati|Maharashtra|MH
26|RAIGARH: MUNICIPAL OFFICIAL HELD RAPING WOMAN MARRIAGE PROMISE|Raigarh|Chhattisgarh|CT
27|ANGRY AHMEDABAD HUSBAND KISSES WIFE CUTS TONGUE|New Delhi|Delhi|DL
28|DELHI: 3 WOMEN HELD ROBBING WAR VETERAN HAUZ KHAS|New Delhi|Delhi|DL
