,Title,City,State,StateCode
0,MAN BURNS WOMAN TAX OFFICER ALIVE IN HER OFFICE IN TELANGANA,Hyderabad,Telangana,TG
1,MADHYA PRADESH: 16-YEAR-OLD GIRL RAPED BY FATHER IN BHIND,Bhind,Madhya Pradesh,MP
2,"MAN KILLS WIFE IN UP WITH AXE, BEATEN TO DEATH BY MOB AS HE ATTEMPTS TO FLEE",Banda,Uttar Pradesh,UP
3,GURGAON: MAN SHOT DEAD BY WOMAN BUSINESS PARTNER,Gurgaon,Haryana,HR
4,HYDERABAD MAN GIVES TRIPLE TALAQ TO WIFE FOR HAVING CROOKED TEETH,Hyderabad,Telangana,TG
5,"MAN REFUSES TO FIX MARRIAGE, TAKE WIFE HOME ON DIWALI; KILLED BY BROTHER-IN-LAW",Bhopal,Madhya Pradesh,MP
6,HYD WOMAN KILLS MOTHER FOR OBJECTING TO AFFAIR WITH 2 MEN,Hyderabad,Telangana,TG
7,UP POLICE RETRIEVE WOMAN'S BODY FROM FUNERAL PYRE,Bulandshahr,Uttar Pradesh,UP
8,UP TEACHER SHOOTS CLASS 8 GIRL FOR REJECTING HIS ADVANCES,Kanpur,Uttar Pradesh,UP
9,DELHI: 3 BOYS APPREHENDED FOR HARASSING 16-YEAR-OLD GIRL,New Delhi,Delhi,DL
10,MAHARASHTRA: 15-YEAR-OLD BOY HELD FOR RAPING MINOR GIRL,Thane,Maharashtra,MH
11,"MOTIHARI SHELTER HOME: 2 GIRLS FOUND, 2 STILL MISSING",Motihari,Bihar,BR
12,BHOPAL: POLICE CREATE FAKE FACEBOOK ACCOUNT OF GIRL TO ARREST RAPE ACCUSED,Bhopal,Madhya Pradesh,MP
13,BIHAR: 3 GIRLS MISSING FROM MOTIHARI-BASED SHELTER HOME,Motihari,Bihar,BR
14,"4-YEAR-OLD GIRL FOUND DEAD IN TIN BOX, FAMILY SAYS VILLAGE WITCH DRANK HER BLOOD",Bhubaneshwar,Odisha,OR
15,MAN KILLS MOTHER-IN-LAW FOR REFUSING TO GIVE UP PROSTITUTION,Bhopal,Madhya Pradesh,MP
16,"RAGPICKERS RAPE GOA WOMAN WAITING AT DELHI BUS STAND, 1 ARRESTED",New Delhi,Delhi,DL
17,HARYANA MAN BOOKED FOR ATTEMPTING TO KILL WIFE BY THROWING HER IN CANAL,Kurukshetra,Haryana,HR
18,DELHI: ST STEPHEN'S LECTURER AND HIS MOTHER FOUND DEAD,New Delhi,Delhi,DL
19,"HYDERABAD: MAN KILLS PET DOG OVER PROPERTY DISPUTE WITH SISTER, BOOKED",Hyderabad,Telangana,TG
20,"UP: WOMAN ACCUSES HUSBAND OF GIVING TRIPLE TALAQ OVER BIRTH OF GIRL CHILD, CASE REGISTERED",Sambal,Punjab,PB
21,MAN DUPES 50 WOMEN TO MEET EXPENSES OF 5 'WIVES',Bhopal,Madhya Pradesh,MP
22,"THANE MAN ARRESTED FOR RAPING WOMAN, POSTING OBSCENE PICS ONLINE",Thane,Maharashtra,MH
23,MAN FEEDS POISONED JUICE TO SONS AFTER FIGHT WITH WIFE,Hyderabad,Telangana,TG
24,"PROVE YOUR GENDER, POLICE TELLS MOLESTED MUMBAI TRANSWOMAN BEFORE FILING FIR",New Delhi,Delhi,DL
25,17-YEAR-OLD BOY TAKEN INTO CUSTODY FOR MOLESTING 5-YEAR-OLD GIRL,Amaravati,Maharashtra,MH
26,RAIGARH: MUNICIPAL OFFICIAL HELD FOR RAPING WOMAN ON MARRIAGE PROMISE,Raigarh,Chhattisgarh,CT
27,ANGRY AHMEDABAD HUSBAND FIRST KISSES WIFE THEN CUTS OFF HER TONGUE,New Delhi,Delhi,DL
28,DELHI: 3 WOMEN HELD FOR ROBBING WAR VETERAN IN HAUZ KHAS,New Delhi,Delhi,DL
